DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;GETHOM;GETMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;OCUHOM;OCUMUJ
1.0;0103;9.0;2012.0;19.0;4.0;1.0;0101;24.0;27.0;2.0;2.0;320.0;320.0;1.0;5.0;9712;2320
16.0;1601;9.0;2012.0;1.0;2.0;16.0;1601;40.0;39.0;1.0;1.0;320.0;320.0;4.0;5.0;9712;2320
6.0;0601;9.0;2012.0;22.0;6.0;6.0;0601;41.0;41.0;9.0;2.0;320.0;320.0;4.0;5.0;9712;2320
1.0;0101;4.0;2012.0;12.0;3.0;1.0;0101;29.0;30.0;9.0;2.0;320.0;320.0;9.0;5.0;9712;2320
5.0;0510;5.0;2012.0;3.0;5.0;2.0;0201;999.0;40.0;9.0;2.0;320.0;320.0;9.0;5.0;9712;2320
10.0;1015;9.0;2012.0;27.0;7.0;10.0;1001;35.0;34.0;9.0;2.0;320.0;320.0;9.0;5.0;9999;2320
1.0;0101;2.0;2013.0;22.0;11.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;110;2341
5.0;0502;10.0;2012.0;16.0;8.0;5.0;0502;24.0;23.0;9.0;9.0;320.0;320.0;9.0;4.0;1219;2341
1.0;0101;4.0;2013.0;2.0;10.0;1.0;0115;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2132;2341
19.0;1901;9.0;2012.0;31.0;7.0;19.0;1901;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2132;2341
1.0;0101;8.0;2012.0;31.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;5.0;9.0;2141;2341
3.0;0301;11.0;2012.0;23.0;5.0;1.0;0101;42.0;30.0;2.0;2.0;320.0;320.0;4.0;4.0;2144;2341
12.0;1202;2.0;2013.0;13.0;8.0;21.0;2101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2161;2341
1.0;0101;5.0;2012.0;19.0;4.0;1.0;0101;28.0;999.0;2.0;9.0;320.0;320.0;5.0;5.0;2211;2341
17.0;1701;10.0;2012.0;7.0;9.0;17.0;1703;33.0;25.0;2.0;2.0;320.0;320.0;5.0;4.0;2211;2341
9.0;0902;11.0;2012.0;7.0;9.0;9.0;0901;54.0;44.0;2.0;2.0;320.0;320.0;9.0;9.0;2262;2341
16.0;1601;7.0;2012.0;16.0;3.0;16.0;1601;34.0;34.0;1.0;1.0;320.0;320.0;9.0;9.0;2341;2341
12.0;1202;6.0;2012.0;30.0;3.0;12.0;1202;999.0;999.0;1.0;1.0;320.0;320.0;4.0;4.0;2341;2341
21.0;2101;4.0;2013.0;10.0;10.0;21.0;2101;999.0;999.0;2.0;9.0;320.0;320.0;4.0;9.0;2341;2341
2.0;0208;11.0;2012.0;31.0;8.0;2.0;0201;28.0;23.0;2.0;2.0;320.0;320.0;4.0;9.0;2341;2341
16.0;1601;12.0;2012.0;23.0;11.0;16.0;1601;56.0;36.0;9.0;9.0;320.0;320.0;4.0;4.0;2341;2341
8.0;0801;2.0;2013.0;27.0;9.0;8.0;0801;41.0;30.0;1.0;1.0;320.0;320.0;4.0;4.0;2341;2341
17.0;1708;10.0;2012.0;19.0;6.0;17.0;1708;56.0;999.0;2.0;9.0;320.0;320.0;4.0;9.0;2341;2341
17.0;1704;12.0;2012.0;22.0;10.0;17.0;1703;29.0;28.0;2.0;2.0;320.0;320.0;4.0;4.0;2341;2341
4.0;0402;1.0;2013.0;26.0;11.0;4.0;0401;32.0;999.0;1.0;9.0;320.0;320.0;4.0;9.0;2341;2341
22.0;2201;3.0;2012.0;13.0;2.0;22.0;2201;23.0;22.0;2.0;2.0;320.0;320.0;4.0;4.0;2341;2341
9.0;0902;4.0;2013.0;16.0;5.0;9.0;0901;28.0;27.0;1.0;2.0;320.0;320.0;4.0;4.0;2341;2341
22.0;2211;9.0;2012.0;18.0;1.0;22.0;2201;41.0;48.0;2.0;2.0;320.0;320.0;4.0;4.0;2341;2341
16.0;1601;9.0;2012.0;24.0;8.0;16.0;1601;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
13.0;1307;6.0;2012.0;18.0;5.0;13.0;1312;25.0;26.0;9.0;1.0;320.0;320.0;9.0;4.0;2341;2341
20.0;2001;4.0;2012.0;22.0;3.0;20.0;2001;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
13.0;1302;11.0;2012.0;8.0;11.0;13.0;1301;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
9.0;0901;7.0;2012.0;16.0;3.0;9.0;0901;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
21.0;2101;2.0;2012.0;26.0;1.0;21.0;2101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
21.0;2101;4.0;2012.0;20.0;2.0;21.0;2101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
22.0;2201;8.0;2012.0;17.0;7.0;22.0;2201;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
17.0;1703;7.0;2012.0;2.0;5.0;17.0;1703;999.0;25.0;9.0;2.0;320.0;320.0;9.0;4.0;2341;2341
21.0;2103;12.0;2012.0;15.0;10.0;21.0;2103;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2341;2341
16.0;1601;6.0;2013.0;28.0;12.0;16.0;1601;999.0;45.0;9.0;2.0;320.0;320.0;9.0;4.0;2341;2341
3.0;0307;5.0;2012.0;20.0;1.0;1.0;0108;39.0;30.0;2.0;2.0;320.0;320.0;5.0;4.0;2351;2341
13.0;1301;12.0;2012.0;5.0;10.0;13.0;1301;45.0;40.0;2.0;2.0;320.0;320.0;5.0;4.0;2351;2341
8.0;0801;12.0;2012.0;15.0;10.0;8.0;0801;53.0;50.0;2.0;2.0;320.0;320.0;5.0;4.0;2351;2341
16.0;1601;12.0;2012.0;16.0;11.0;16.0;1601;35.0;33.0;9.0;9.0;320.0;320.0;9.0;9.0;2359;2341
15.0;1504;7.0;2012.0;11.0;6.0;15.0;1504;30.0;29.0;9.0;2.0;320.0;320.0;9.0;9.0;2359;2341
17.0;1701;8.0;2012.0;7.0;5.0;17.0;1701;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2359;2341
1.0;0101;10.0;2012.0;3.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2422;2341
1.0;0101;10.0;2012.0;9.0;8.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2642;2341
1.0;0101;3.0;2013.0;12.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2642;2341
22.0;2202;3.0;2012.0;13.0;2.0;22.0;2201;31.0;27.0;2.0;2.0;320.0;320.0;4.0;4.0;3114;2341
22.0;2214;5.0;2012.0;26.0;4.0;22.0;2201;31.0;22.0;2.0;2.0;320.0;320.0;4.0;4.0;3119;2341
6.0;0601;10.0;2012.0;7.0;8.0;6.0;0601;28.0;28.0;2.0;2.0;320.0;320.0;4.0;4.0;3119;2341
9.0;0914;8.0;2012.0;21.0;5.0;9.0;0914;29.0;29.0;1.0;1.0;320.0;320.0;5.0;5.0;3119;2341
10.0;1014;9.0;2012.0;27.0;8.0;10.0;1014;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3119;2341
20.0;2008;5.0;2012.0;22.0;3.0;20.0;2001;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3142;2341
10.0;1001;8.0;2012.0;21.0;8.0;10.0;1001;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3142;2341
20.0;2001;5.0;2012.0;12.0;3.0;20.0;2001;34.0;35.0;9.0;9.0;320.0;320.0;9.0;9.0;3314;2341
12.0;1217;2.0;2013.0;22.0;10.0;9.0;0920;24.0;32.0;2.0;2.0;320.0;320.0;4.0;4.0;3331;2341
11.0;1101;8.0;2012.0;30.0;5.0;11.0;1101;27.0;31.0;2.0;2.0;320.0;320.0;4.0;5.0;3412;2341
16.0;1601;4.0;2012.0;9.0;2.0;16.0;1601;44.0;42.0;2.0;2.0;320.0;320.0;4.0;4.0;3412;2341
18.0;1802;9.0;2012.0;20.0;3.0;18.0;1801;45.0;43.0;2.0;2.0;320.0;320.0;4.0;4.0;3412;2341
13.0;1315;4.0;2012.0;16.0;2.0;13.0;1301;49.0;43.0;2.0;2.0;320.0;320.0;4.0;4.0;3412;2341
1.0;0101;1.0;2013.0;4.0;9.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3412;2341
1.0;0101;8.0;2012.0;19.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3412;2341
1.0;0101;10.0;2012.0;2.0;5.0;1.0;0101;23.0;24.0;9.0;9.0;320.0;320.0;4.0;4.0;3513;2341
10.0;1014;2.0;2013.0;12.0;10.0;5.0;0502;28.0;24.0;2.0;2.0;320.0;320.0;4.0;4.0;3513;2341
1.0;0101;9.0;2012.0;15.0;4.0;5.0;0501;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3513;2341
16.0;1601;5.0;2012.0;13.0;2.0;16.0;1601;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3513;2341
9.0;0901;9.0;2012.0;4.0;5.0;9.0;0901;52.0;47.0;9.0;9.0;320.0;320.0;9.0;9.0;4131;2341
1.0;0101;8.0;2012.0;15.0;3.0;1.0;0114;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;4131;2341
1.0;0114;7.0;2012.0;27.0;4.0;1.0;0114;52.0;43.0;9.0;9.0;320.0;320.0;1.0;9.0;4311;2341
1.0;0101;4.0;2013.0;25.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;4311;2341
10.0;1018;11.0;2012.0;11.0;9.0;10.0;1001;27.0;24.0;2.0;2.0;320.0;320.0;4.0;4.0;4311;2341
10.0;1001;10.0;2012.0;8.0;8.0;10.0;1001;29.0;32.0;2.0;2.0;320.0;320.0;4.0;4.0;4311;2341
13.0;1301;1.0;2013.0;15.0;10.0;13.0;1301;41.0;31.0;9.0;9.0;320.0;320.0;4.0;9.0;4311;2341
18.0;1801;1.0;2013.0;13.0;11.0;18.0;1801;51.0;46.0;2.0;2.0;320.0;320.0;4.0;4.0;4311;2341
14.0;1415;2.0;2013.0;29.0;10.0;14.0;1413;33.0;25.0;1.0;2.0;320.0;320.0;4.0;4.0;4311;2341
1.0;0101;8.0;2012.0;9.0;7.0;1.0;0101;42.0;30.0;9.0;2.0;320.0;320.0;9.0;4.0;4311;2341
5.0;0501;4.0;2013.0;3.0;12.0;5.0;0501;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;4311;2341
20.0;2004;2.0;2013.0;5.0;10.0;20.0;2001;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;4311;2341
1.0;0101;6.0;2012.0;29.0;3.0;5.0;0502;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;4311;2341
17.0;1712;11.0;2012.0;2.0;10.0;17.0;1712;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;5111;2341
1.0;0108;10.0;2012.0;16.0;8.0;1.0;0101;48.0;50.0;9.0;9.0;320.0;320.0;1.0;9.0;5221;2341
1.0;0101;1.0;2013.0;18.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;5221;2341
1.0;0101;6.0;2012.0;25.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;5221;2341
1.0;0101;7.0;2012.0;21.0;2.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;5221;2341
2.0;0205;5.0;2012.0;11.0;4.0;2.0;0201;999.0;36.0;9.0;2.0;320.0;320.0;9.0;4.0;5221;2341
11.0;1101;5.0;2012.0;8.0;5.0;11.0;1101;39.0;34.0;2.0;2.0;320.0;320.0;4.0;4.0;5411;2341
8.0;0801;4.0;2012.0;3.0;2.0;8.0;0801;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;6111;2341
14.0;1402;2.0;2012.0;26.0;1.0;14.0;1401;43.0;33.0;9.0;9.0;320.0;320.0;1.0;9.0;6111;2341
13.0;1305;9.0;2012.0;12.0;4.0;13.0;1312;25.0;31.0;2.0;2.0;320.0;320.0;2.0;5.0;6111;2341
16.0;1602;9.0;2012.0;18.0;7.0;16.0;1601;38.0;36.0;1.0;1.0;320.0;320.0;3.0;5.0;6111;2341
12.0;1210;4.0;2013.0;22.0;11.0;1.0;0101;27.0;36.0;2.0;9.0;320.0;320.0;4.0;9.0;6111;2341
21.0;2101;2.0;2013.0;26.0;12.0;21.0;2101;999.0;999.0;2.0;2.0;320.0;320.0;9.0;9.0;6111;2341
21.0;2101;6.0;2012.0;24.0;4.0;21.0;2101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;6111;2341
17.0;1707;1.0;2013.0;14.0;11.0;17.0;1703;999.0;30.0;9.0;2.0;320.0;320.0;9.0;4.0;6111;2341
9.0;0923;12.0;2012.0;6.0;3.0;9.0;0901;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;7115;2341
1.0;0101;11.0;2012.0;14.0;3.0;1.0;0101;32.0;28.0;2.0;2.0;320.0;320.0;2.0;4.0;7131;2341
9.0;0901;4.0;2013.0;4.0;12.0;9.0;0901;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;7231;2341
11.0;1101;9.0;2012.0;25.0;7.0;11.0;1101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;7231;2341
1.0;0101;5.0;2012.0;29.0;3.0;1.0;0101;26.0;26.0;9.0;9.0;320.0;320.0;9.0;4.0;7231;2341
5.0;0501;11.0;2012.0;9.0;3.0;5.0;0501;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;7411;2341
14.0;1418;5.0;2012.0;21.0;3.0;14.0;1401;39.0;39.0;2.0;9.0;320.0;320.0;3.0;4.0;8152;2341
10.0;1020;4.0;2012.0;14.0;3.0;10.0;1001;44.0;35.0;2.0;2.0;320.0;320.0;2.0;4.0;8322;2341
17.0;1703;2.0;2013.0;23.0;11.0;17.0;1703;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;8322;2341
5.0;0502;11.0;2012.0;24.0;8.0;16.0;1601;57.0;59.0;2.0;2.0;320.0;320.0;3.0;4.0;8332;2341
16.0;1601;12.0;2012.0;24.0;8.0;16.0;1601;57.0;59.0;2.0;2.0;320.0;320.0;3.0;4.0;8332;2341
10.0;1020;6.0;2012.0;18.0;4.0;10.0;1001;31.0;38.0;2.0;9.0;320.0;320.0;2.0;9.0;9211;2341
20.0;2001;1.0;2013.0;6.0;11.0;20.0;2001;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9211;2341
9.0;0916;2.0;2013.0;19.0;11.0;9.0;0901;32.0;42.0;1.0;1.0;320.0;320.0;9.0;4.0;9313;2341
12.0;1229;6.0;2012.0;22.0;5.0;12.0;1229;999.0;30.0;9.0;1.0;320.0;320.0;1.0;4.0;9712;2341
9.0;0906;6.0;2012.0;10.0;4.0;11.0;1101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;9712;2341
22.0;2205;9.0;2012.0;3.0;9.0;22.0;2201;999.0;25.0;9.0;2.0;320.0;320.0;1.0;9.0;9712;2341
12.0;1217;4.0;2013.0;10.0;10.0;9.0;0920;999.0;24.0;9.0;2.0;320.0;320.0;1.0;4.0;9712;2341
6.0;0601;2.0;2012.0;6.0;2.0;6.0;0601;26.0;26.0;2.0;2.0;320.0;320.0;1.0;4.0;9712;2341
5.0;0506;6.0;2012.0;6.0;6.0;10.0;1001;28.0;27.0;9.0;9.0;320.0;320.0;1.0;9.0;9712;2341
22.0;2201;10.0;2012.0;31.0;8.0;22.0;2201;31.0;24.0;9.0;2.0;320.0;320.0;1.0;4.0;9712;2341
10.0;1020;8.0;2012.0;9.0;7.0;1.0;0101;38.0;36.0;2.0;2.0;320.0;320.0;1.0;4.0;9712;2341
10.0;1001;3.0;2012.0;26.0;1.0;10.0;1001;999.0;999.0;2.0;2.0;320.0;320.0;2.0;4.0;9712;2341
5.0;0509;11.0;2012.0;7.0;8.0;5.0;0501;20.0;28.0;2.0;9.0;320.0;320.0;4.0;9.0;9712;2341
